id,date,time,username,tweet,hashtags,tokenized_tweet,normalized_tokens,year,month
1363921515922796547,22,13:40:04,cdcgov, covid 19 and flu can both cause fever and cough but shortness of breath is more common with than flu use this chart to learn more about the similarities and differences of covid 19 and flu learn more ,"['dyk', 'covid19']","['covid', '19', 'and', 'flu', 'can', 'both', 'cause', 'fever', 'and', 'cough', 'but', 'shortness', 'of', 'breath', 'is', 'more', 'common', 'with', 'than', 'flu', 'use', 'this', 'chart', 'to', 'learn', 'more', 'about', 'the', 'similarities', 'and', 'differences', 'of', 'covid', '19', 'and', 'flu', 'learn', 'more']","['covid', 'flu', 'cause', 'fever', 'cough', 'shortness', 'breath', 'common', 'flu', 'use', 'chart', 'learn', 'similarity', 'difference', 'covid', 'flu', 'learn']",2021,02
1363885801755533313,22,11:18:09,cdcgov,a new looks at in georgia elementary schools the study highlights that preventing infections in educators is an important part of stopping the spread of covid 19 in schools learn more ,['covid19'],"['a', 'new', 'looks', 'at', 'in', 'georgia', 'elementary', 'schools', 'the', 'study', 'highlights', 'that', 'preventing', 'infections', 'in', 'educators', 'is', 'an', 'important', 'part', 'of', 'stopping', 'the', 'spread', 'of', 'covid', '19', 'in', 'schools', 'learn', 'more']","['new', 'look', 'georgia', 'elementary', 'school', 'study', 'highlight', 'prevent', 'infection', 'educator', 'important', 'stop', 'spread', 'covid', 'school', 'learn']",2021,02
1362865816765661190,19,15:45:06,cdcgov,officials are concerned about variants detected in the u s the b 1 1 7 variant first identified in uk is currently the most common with cases detected in states and d c stop new variants by preventing the spread of covid 19 more ,['covid19'],"['officials', 'are', 'concerned', 'about', 'variants', 'detected', 'in', 'the', 'u', 's', 'the', 'b', '1', '1', '7', 'variant', 'first', 'identified', 'in', 'uk', 'is', 'currently', 'the', 'most', 'common', 'with', 'cases', 'detected', 'in', 'states', 'and', 'd', 'c', 'stop', 'new', 'variants', 'by', 'preventing', 'the', 'spread', 'of', 'covid', '19', 'more']","['official', 'concern', 'variant', 'detect', 'u', 's', 'b', 'variant', 'identify', 'uk', 'currently', 'common', 'case', 'detect', 'state', 'have', 'c', 'stop', 'new', 'variant', 'prevent', 'spread', 'covid']",2021,02
1362849192130080772,19,14:39:02,cdcgov,getting a vaccine is important for adults with certain health conditions because they may get very sick from covid 19 vaccines for covid 19 are recommended for people who havent had a bad reaction to any ingredients in the vaccine learn more ,['covid19'],"['getting', 'a', 'vaccine', 'is', 'important', 'for', 'adults', 'with', 'certain', 'health', 'conditions', 'because', 'they', 'may', 'get', 'very', 'sick', 'from', 'covid', '19', 'vaccines', 'for', 'covid', '19', 'are', 'recommended', 'for', 'people', 'who', 'have', 'nt', 'had', 'a', 'bad', 'reaction', 'to', 'any', 'ingredients', 'in', 'the', 'vaccine', 'learn', 'more']","['get', 'vaccine', 'important', 'adult', 'certain', 'health', 'condition', 'sick', 'covid', 'vaccine', 'covid', 'recommend', 'people', 'not', 'bad', 'reaction', 'ingredient', 'vaccine', 'learn']",2021,02
1362510972162867206,18,16:15:04,cdcgov, you need two mrna vaccine doses to get the most protection from covid 19 time of your second dose will depend on which vaccine you got need help scheduling the second dose contact the location that set up your first appointment ,"['dyk', 'covid19']","['you', 'need', 'two', 'mrna', 'vaccine', 'doses', 'to', 'get', 'the', 'most', 'protection', 'from', 'covid', '19', 'time', 'of', 'your', 'second', 'dose', 'will', 'depend', 'on', 'which', 'vaccine', 'you', 'got', 'need', 'help', 'scheduling', 'the', 'second', 'dose', 'contact', 'the', 'location', 'that', 'set', 'up', 'your', 'first', 'appointment']","['need', 'mrna', 'vaccine', 'dose', 'protection', 'covid', 'time', 'dose', 'depend', 'vaccine', 'get', 'need', 'help', 'schedule', 'dose', 'contact', 'location', 'set', 'appointment']",2021,02
1362503437871685640,18,15:45:08,cdcgov,covid 19 vaccine communicators experts will share information on the importance of tailoring vaccine communications to your communitys needs at the national ,"['covid19', 'covidvaccineforum']","['covid', '19', 'vaccine', 'communicators', 'experts', 'will', 'share', 'information', 'on', 'the', 'importance', 'of', 'tailoring', 'vaccine', 'communications', 'to', 'your', 'communitys', 'needs', 'at', 'the', 'national']","['covid', 'vaccine', 'communicator', 'expert', 'share', 'information', 'importance', 'tailor', 'vaccine', 'communication', 'communitys', 'need', 'national']",2021,02
1362493852251209728,18,15:07:02,cdcgov,providing health services through is critical to ensure access to care while limiting exposure to a new report discusses trends in use of telehealth at health centers during the covid 19 pandemic read more ,"['telehealth', 'covid19']","['providing', 'health', 'services', 'through', 'is', 'critical', 'to', 'ensure', 'access', 'to', 'care', 'while', 'limiting', 'exposure', 'to', 'a', 'new', 'report', 'discusses', 'trends', 'in', 'use', 'of', 'telehealth', 'at', 'health', 'centers', 'during', 'the', 'covid', '19', 'pandemic', 'read', 'more']","['provide', 'health', 'service', 'critical', 'ensure', 'access', 'care', 'limit', 'exposure', 'new', 'report', 'discuss', 'trend', 'use', 'telehealth', 'health', 'center', 'covid', 'pandemic', 'read']",2021,02
1362441003165220867,18,11:37:02,cdcgov,hcps do your school age patients need catch up vaccines before returning to in school learning especially during covid 19 for current vaccine recommendations see table of the recommended child and adolescent immunization schedule ,[],"['hcps', 'do', 'your', 'school', 'age', 'patients', 'need', 'catch', 'up', 'vaccines', 'before', 'returning', 'to', 'in', 'school', 'learning', 'especially', 'during', 'covid', '19', 'for', 'current', 'vaccine', 'recommendations', 'see', 'table', 'of', 'the', 'recommended', 'child', 'and', 'adolescent', 'immunization', 'schedule']","['hcps', 'school', 'age', 'patient', 'need', 'catch', 'vaccine', 'return', 'school', 'learn', 'especially', 'covid', 'current', 'vaccine', 'recommendation', 'table', 'recommend', 'child', 'adolescent', 'immunization', 'schedule']",2021,02
1362431960669388804,18,11:01:06,cdcgov,vaccines currently used in the u s were shown in clinical trials to be effective at preventing covid 19 disease cdc is evaluating how covid 19 vaccines work in real world conditions learn more ,['covid19'],"['vaccines', 'currently', 'used', 'in', 'the', 'u', 's', 'were', 'shown', 'in', 'clinical', 'trials', 'to', 'be', 'effective', 'at', 'preventing', 'covid', '19', 'disease', 'cdc', 'is', 'evaluating', 'how', 'covid', '19', 'vaccines', 'work', 'in', 'real', 'world', 'conditions', 'learn', 'more']","['vaccine', 'currently', 'u', 's', 'show', 'clinical', 'trial', 'effective', 'prevent', 'covid', 'disease', 'cdc', 'evaluate', 'covid', 'vaccine', 'work', 'real', 'world', 'condition', 'learn']",2021,02
1362135489311109122,17,15:23:02,cdcgov,covid 19 science update find the latest research on the spread of variant strains vaccine effectiveness and more read the full update ,['covid19'],"['covid', '19', 'science', 'update', 'find', 'the', 'latest', 'research', 'on', 'the', 'spread', 'of', 'variant', 'strains', 'vaccine', 'effectiveness', 'and', 'more', 'read', 'the', 'full', 'update']","['covid', 'science', 'update', 'find', 'late', 'research', 'spread', 'variant', 'strain', 'vaccine', 'effectiveness', 'read', 'update']",2021,02
