date,confirmed,deaths
2020/4/24,905333,51949
2020/6/15,2114026,116127
2020/8/24,5739724,177252
2020/5/6,1228603,73431
2020/12/23,18458373,326124
2020/7/25,4178021,146460
2020/11/19,11715316,252535
2020/7/7,2996098,131480
2021/1/19,24256028,401772
2021/2/13,27575344,484248
2020/11/6,9733816,236073
2021/1/10,22409132,374329
2020/12/13,16253219,299168
2020/11/24,12591163,259925
2021/1/5,21046195,357258
2020/8/14,5313252,168452
2021/2/12,27492023,480887
2020/9/29,7190230,205986
2020/4/14,607670,25831
2021/1/4,20817140,353483
2021/1/11,22622305,376343
2020/9/13,6519573,194071
2020/5/29,1746019,102809
2020/5/16,1467820,88754
2020/10/4,7417845,209721
2020/11/21,12088410,255861
2020/9/16,6630051,196763
2021/2/6,26917787,462169
2020/4/27,988090,56259
2020/7/22,3970085,143190
2020/8/11,5141208,164527
2020/11/9,10111077,238256
2020/6/5,1902632,109373
2021/1/26,25445583,425252
2020/12/10,15611014,292141
2020/12/19,17655591,316159
2020/5/1,1103461,64943
2020/8/7,4941755,161347
2020/7/14,3431574,136466
2020/12/31,19968087,345737
2020/10/6,7499341,210886
2021/2/9,27192455,468203
2020/9/14,6553399,194489
2020/5/14,1417774,85898
2020/12/6,14757000,282299
2021/2/4,26680214,455881
2020/12/28,19301543,334836
2020/10/28,8856413,227685
2020/6/22,2312300,120402
2020/8/22,5667112,176353
2021/1/2,20426184,350186
2021/2/19,28006110,495804
2020/12/15,16716777,303773
2021/2/10,27287159,471567
2020/11/10,10252129,239671
2020/10/15,7979709,217692
2020/4/22,840220,46622
2020/10/11,7762546,214768
2020/5/3,1158040,67682
2021/2/8,27097095,465072
2020/11/26,12883264,263454
2020/12/26,18982634,331909
2020/11/11,10399325,241340
2020/9/21,6856884,199865
2020/9/3,6150016,186790
2020/8/21,5622540,175370
2020/8/3,4713540,155402
2020/5/21,1577147,94702
2020/4/21,811865,44444
2020/6/18,2191053,118438
2020/7/18,3711413,140119
2020/12/8,15165295,286249
2020/5/13,1390406,84119
2021/1/6,21299340,361123
2020/10/1,7277759,207789
2020/6/8,1961428,111011
2020/6/13,2074526,115436
2020/5/8,1283929,77180
2020/8/31,6030587,183597
2020/12/18,17459296,313588
2020/5/31,1790172,104381
2020/9/26,7078089,204490
2020/9/8,6327009,189653
2020/11/1,9206975,230995
2021/1/18,24078772,399003
2021/2/20,28077620,497648
2020/5/26,1680913,98913
2020/12/3,14139577,276325
2020/6/26,2467554,125039
2020/6/23,2347022,121228
2020/11/3,9382617,232620
2020/5/23,1622612,97087
2020/7/1,2686258,128062
2021/1/3,20636663,351580
2020/8/1,4620444,154447
2020/12/16,16973376,307429
2020/11/16,11195388,246965
2020/6/28,2548996,125803
2020/7/28,4356206,149310
2021/1/31,26186781,441324
2021/2/5,26813772,459555
2020/9/23,6933548,201884
2020/10/14,7916099,216872
2021/1/25,25297059,421129
2020/12/29,19511426,338568
2020/9/6,6276365,188941
2021/2/7,27007368,463476
2020/9/19,6764970,199259
2020/9/2,6113510,185720
2020/10/7,7549682,211801
2020/5/2,1132539,66369
2020/7/2,2739879,128740
2020/6/19,2222812,119125
2020/6/2,1831821,106180
2021/2/11,27392512,475444
2020/10/22,8407702,223032
2020/10/19,8212981,220119
2020/8/10,5094400,163463
2021/2/3,26557026,450797
2020/9/10,6396551,191766
2021/1/1,20128693,347788
2020/6/10,2000464,112924
2020/10/27,8777432,226691
2020/7/10,3184573,134092
2020/5/10,1329260,79526
2020/11/22,12246849,256782
2020/12/22,18230242,322765
2020/12/27,19132726,333118
2021/2/18,27896040,493098
2020/11/27,13088821,264858
2020/6/6,1925765,110084
2020/9/15,6593269,195786
2020/8/6,4883582,160104
2021/1/17,23936773,397600
2021/1/7,21579569,365317
2020/7/15,3497847,137407
2020/5/15,1442824,87530
2020/11/23,12418228,257779
2020/11/14,10903890,245598
2021/1/23,24994463,417439
2020/6/7,1943880,110528
2020/5/11,1347881,80682
2020/9/11,6443743,192979
2020/12/9,15386562,289373
2020/7/5,2888635,129947
2020/10/9,7663293,213752
2020/4/16,667801,32916
2020/6/3,1851520,107175
2020/9/18,6723933,198570
2020/7/3,2794153,129434
2020/12/11,15842789,295450
2020/10/8,7605873,212762
2020/10/26,8702750,225706
2020/5/18,1508308,90347
2020/4/18,732197,38664
2020/6/21,2281290,119977
2020/7/21,3899211,141995
2020/11/8,9991691,237666
2021/2/16,27756624,488081
2020/8/18,5483388,171821
2020/4/13,580619,23528
2021/2/1,26321120,443355
2020/12/1,13721304,270642
2020/7/31,4562038,153314
2020/8/13,5248958,167110
2020/7/13,3364157,135566
2020/7/8,3054699,132300
2020/8/8,4997929,162423
2021/1/22,24821813,414107
2020/10/18,8154594,219674
2020/11/18,11527483,250520
2020/4/26,965783,54881
2020/4/23,869170,49954
2020/10/31,9125482,230548
2020/7/26,4233923,146935
2020/8/26,5821819,179708
2020/9/1,6073840,184664
2020/6/1,1811020,105149
2021/1/29,25932794,436799
2020/8/28,5913941,181800
2020/9/28,7148045,205072
2021/1/14,23314521,388697
2020/4/28,1012582,58355
2020/10/16,8048865,218575
2020/10/3,7382341,209384
2020/7/23,4038748,144304
2020/5/28,1721753,101616
2020/8/23,5701679,176802
2020/7/6,2936077,130285
2020/8/15,5361165,169481
2020/10/23,8491459,223975
2020/10/29,8944934,228656
2021/2/17,27826812,490540
2020/6/24,2381493,121980
2020/4/15,636350,28325
2020/11/5,9607336,234927
2020/12/14,16518420,300754
2020/10/13,7856605,215887
2020/9/25,7032712,203750
2020/6/14,2094058,115732
2020/5/7,1257023,75662
2020/5/25,1662302,98220
2020/7/29,4426982,150713
2020/4/20,784326,42094
2020/11/28,13244417,266047
2020/9/7,6300622,189208
2021/2/2,26435557,446885
2021/1/21,24631888,410349
2020/12/4,14367462,278932
2020/9/22,6896218,200786
2020/5/22,1600937,95979
2020/5/4,1180375,68922
2020/6/4,1872660,108211
2020/7/17,3647715,139266
2020/9/17,6674411,197633
2020/8/17,5438325,170497
2021/1/27,25598061,429195
2020/9/24,6977658,202798
2020/11/29,13383320,266873
2020/12/5,14581337,281186
2020/5/24,1643246,97720
2020/10/5,7457402,210181
2020/7/24,4112531,145546
2020/8/25,5777710,178486
2020/6/25,2422299,124410
2020/11/13,10737335,244332
2020/12/24,18650454,329023
2021/2/15,27694226,486325
2020/4/25,938154,53755
2020/10/24,8575177,224889
2020/5/20,1551853,93439
2020/6/29,2590651,126140
2020/8/29,5961094,182761
2020/12/12,16062299,297818
2021/2/21,28134115,498897
2020/4/29,1039909,60967
2020/11/4,9485448,233717
2020/9/5,6244970,188538
2020/6/16,2137731,116963
2020/10/21,8336031,222176
2021/1/28,25766681,433195
2021/1/30,26074885,439530
2020/8/16,5403213,170052
2020/12/21,18035209,319364
2020/7/11,3245925,134777
2021/1/13,23077247,384764
2020/5/5,1204351,71064
2021/1/15,23556097,392499
2020/7/16,3576157,138358
2020/6/11,2023347,113820
2020/11/15,11036935,246214
2020/10/10,7717932,214370
2020/8/5,4823890,158250
2021/1/9,22192842,372508
2020/12/2,13921374,273446
2021/1/8,21862773,368773
2020/5/27,1699176,100418
2020/6/27,2510151,125539
2020/7/30,4495015,152055
2020/9/30,7233042,206932
2020/7/27,4290337,148012
2020/11/2,9291087,231490
2021/1/24,25127000,419214
2020/8/30,5996431,183066
2020/10/2,7332200,208695
2020/9/27,7115008,204756
2021/1/16,23758855,395851
2020/5/30,1770165,103776
2020/8/27,5867785,180824
2020/6/30,2635417,127417
2020/11/30,13541221,268045
2020/5/19,1528568,91921
2020/12/7,14949299,283703
2020/10/30,9044255,229686
2020/11/7,9860558,237113
2020/12/30,19740772,342318
2020/7/19,3773260,140534
2020/8/19,5529824,173177
2020/4/19,759086,40661
2020/4/30,1069424,62996
2020/8/2,4667955,154860
2020/7/9,3117946,133290
2020/10/17,8106384,219286
2020/9/12,6485214,193693
2020/8/9,5044864,162938
2020/6/9,1979489,111989
2020/5/9,1309550,78795
2020/9/9,6361265,190859
2020/7/12,3304942,135205
2020/12/20,17844690,317668
2020/11/17,11357322,248672
2020/8/12,5197411,166034
2020/5/12,1369574,82376
2020/6/12,2048986,114669
2020/11/20,11910858,254413
2020/12/17,17209587,310774
2020/4/12,555313,22019
2020/10/20,8273296,221052
2021/2/14,27640282,485336
2020/12/25,18756360,330246
2020/11/12,10552821,242901
2020/10/12,7804199,215085
2020/9/20,6804814,199509
2020/6/20,2255119,119719
2020/8/20,5573847,174255
2020/7/20,3834677,140913
2021/1/20,24438723,406147
2021/1/12,22847637,380805
2020/5/17,1486757,89562
2020/6/17,2163290,117717
2020/9/4,6200518,187755
2020/10/25,8635966,225229
2020/11/25,12772653,262222
2020/7/4,2839436,129676
