province_state,country_region,date,confirmed_state,deaths_state
Massachusetts,US,2020/4/24,50969,2556
Nevada,US,2020/4/24,4398,197
Arizona,US,2020/4/24,6045,266
District of Columbia,US,2020/4/24,3528,153
Connecticut,US,2020/4/24,23936,1767
Delaware,US,2020/4/24,3442,100
Arizona,US,2020/6/15,36844,1203
Massachusetts,US,2020/6/15,105690,7647
Vermont,US,2020/6/15,1128,55
Nevada,US,2020/6/15,11315,465
Maine,US,2020/6/15,2810,101
District of Columbia,US,2020/6/15,9799,515
Connecticut,US,2020/6/15,45235,4204
New Hampshire,US,2020/6/15,5345,320
Delaware,US,2020/6/15,10340,423
Utah,US,2020/6/15,14608,143
Arizona,US,2020/8/24,198414,4771
Connecticut,US,2020/8/24,52011,4460
Delaware,US,2020/8/24,16942,604
District of Columbia,US,2020/8/24,13639,604
Hawaii,US,2020/8/24,6769,49
Maine,US,2020/8/24,4357,131
Massachusetts,US,2020/8/24,126022,8949
Nevada,US,2020/8/24,66010,1200
New Hampshire,US,2020/8/24,7140,429
Utah,US,2020/8/24,49364,390
Vermont,US,2020/8/24,1566,58
Massachusetts,US,2020/5/6,72025,4420
Vermont,US,2020/5/6,908,52
Nevada,US,2020/5/6,5741,289
Arizona,US,2020/5/6,9707,426
District of Columbia,US,2020/5/6,5461,277
Connecticut,US,2020/5/6,30995,2718
New Hampshire,US,2020/5/6,2741,92
Delaware,US,2020/5/6,5778,193
Utah,US,2020/5/6,5595,58
Arizona,US,2020/12/23,473273,8179
Connecticut,US,2020/12/23,170705,5736
Delaware,US,2020/12/23,52235,872
District of Columbia,US,2020/12/23,27226,751
Hawaii,US,2020/12/23,20868,285
Maine,US,2020/12/23,20491,311
Massachusetts,US,2020/12/23,335988,11887
Nevada,US,2020/12/23,209962,2869
New Hampshire,US,2020/12/23,38512,677
Rhode Island,US,2020/12/23,82066,1704
Utah,US,2020/12/23,257697,1196
Vermont,US,2020/12/23,6680,117
Arizona,US,2020/7/25,160041,3286
Massachusetts,US,2020/7/25,115268,8510
Vermont,US,2020/7/25,1396,56
Nevada,US,2020/7/25,41816,732
Maine,US,2020/7/25,3790,119
District of Columbia,US,2020/7/25,11717,581
Connecticut,US,2020/7/25,48776,4413
New Hampshire,US,2020/7/25,6415,409
Delaware,US,2020/7/25,14175,579
Utah,US,2020/7/25,37623,274
Arizona,US,2020/11/19,287225,6384
Connecticut,US,2020/11/19,99381,4805
Delaware,US,2020/11/19,30153,742
District of Columbia,US,2020/11/19,19678,667
Hawaii,US,2020/11/19,17081,223
